City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
438,Keti Bandar,PK,77.14,24.14,67.45,
439,Tatsuno,JP,52.0,34.87,134.55,
440,Gayeri,BF,81.9,12.65,0.49,
441,Ihosy,MG,64.74,-22.4,46.12,
442,Khani,GE,53.6,41.96,42.96,
443,Belmonte,BR,68.0,-15.86,-38.88,
445,Guerrero Negro,MX,76.03,27.98,-114.06,
446,Lagoa,PT,61.68,39.05,-27.98,
448,Moron,AR,68.0,-34.65,-58.62,
450,Hirara,JP,71.6,24.8,125.28,
451,Ahipara,NZ,68.58,-35.17,173.17,
453,Russell,US,68.0,32.35,-85.2,
454,Oranjemund,,60.48,-28.55,16.43,
455,Sembe,CG,72.82,1.65,14.58,
456,Nata,PA,75.2,8.33,-80.52,
457,Ambulu,ID,76.3,-8.35,113.61,
458,Rusape,ZW,62.02,-18.53,32.13,
459,Siocon,PH,79.93,7.71,122.14,
461,Dahanu,IN,77.32,19.97,72.73,
462,Padang,ID,76.08,-0.95,100.35,
463,Nador,MA,66.2,35.17,-2.93,
469,Salinas,US,73.99,36.68,-121.66,
470,Waingapu,ID,81.79,-9.66,120.26,
471,Yashalta,RU,51.48,46.34,42.28,
472,Amalapuram,IN,75.54,16.58,82.02,
473,Comodoro Rivadavia,AR,60.8,-45.87,-67.5,
474,Coos Bay,US,63.0,43.37,-124.22,
475,Asosa,ET,64.49,10.07,34.53,
476,Yulara,AU,84.2,-25.24,130.99,
477,Harper,LR,78.85,4.38,-7.72,
478,Namibe,AO,69.3,-15.2,12.15,
479,Asyut,EG,75.2,27.18,31.18,
481,Along,IN,64.49,28.17,94.77,
482,Tacuati,PY,74.82,-23.45,-56.58,
483,Spearfish,US,71.6,44.49,-103.86,
484,Mount Isa,AU,89.6,-20.73,139.5,
485,Cikarang,ID,78.01,-6.26,107.15,
488,Bodden Town,KY,81.0,19.28,-81.25,
490,Patos De Minas,BR,65.88,-18.58,-46.52,
491,Walvis Bay,,57.99,-22.96,14.51,
492,Mount Pleasant,US,61.0,32.79,-79.86,
493,Rivera,UY,60.13,-30.91,-55.55,
494,Manaquiri,BR,89.6,-3.32,-60.35,
